Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,1360,1780,"138M, 32F","Deskati, Deskati municipality (before it contained Chasia municipality), Grevena regional unit, Greece",195,214,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,1130,1480,"159M, 89F","Kastoria, Kastoria municipality, Kastoria regional unit, Greece",177,197,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,900,1360,"99M, 89F","Agios Dimitrios, Katerini municipality, Pieria regional unit, Greece",170,191,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,1010,1330,"46M, 20F","Keramoti, Nestos municipality, Kavala regional unit, Greece",169,185,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,890,1350,"236M, 63F","Mikra Volvi, Volvi municipality, Thessaloniki regional unit, Greece",165,189,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,860,1230,"55M, 27F","Porto Lago, Abdera municipality, Xanthi regional unit, Greece",161,181,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,760,1100,"62M, 19F","Litochoron, Dio-Olympos municipality, Pieria regional unit, Greece",155,175,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,760,1140,"93M, 68F","Parga, Parga municipality, Preveza regional unit, Greece",155,177,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,660,1060,"22M, 47F","Langadia, Gortynia municipality, Arcadia regional unit, Greece",148,174,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,700,930,"2077M, 1003F","Meteora, Kalabaka municipality, Trikala regional unit, Greece",151,165,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,740,880,"73M, 17F","Kilkis, Kilkis municipality, Kilkis regional unit, Greece",154,165,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,yes,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,740,970,"194F, 26F","Igoumenitsa, Igoumenitsa municipality, Threspotia regional unit, Greece",151,166,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,730,920,"3040M, 911F","Alyki main heath, Pydna-Kolindros municipality, Pieria regional unit, Greece",155,167,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,690,930,"475M, 349F","Alyki salt works, Pydna-Kolindros municipality, Pieria regional unit, Greece",151,167,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,610,910,"532M, 305F","Olympia, Archaia Olympia municipality, Elis regional unit, Greece",144,163,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,510,740,"464M, 163F","Sparta, Sparta municipality, Laconia regional unit, Greece",135,153,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
yes,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,470,820,"132M, 87F","Kalamata, Kalamata municipality, Messenia regional unit, Greece",132,156,,,,,,,,"Willemsen, R.E., and A. Hailey. 1999. Variation of Adult Body Size of the Tortoise Testudo hermanni in Greece: Proximate and Ultimate Causes. Journal of Zoology London 248: 379-396.",,,,,,,,,
,,,,,,Testudo,hermanni,,Testudinidae,,,,,154.6,175,,,,193.5,217,,,,"Willemsen & Hailey, 1999; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Testudo,hermanni ssp boettgeri,Eastern Hermann's tortoise,Testudinidae,1042,1422,592,Northern Greece,176.9,196,,,,,,,note: Some turtles too big to weigh (minor),"Williemsen, R.E., and A. Hailey. 2003. Sexual Dimorphism of Body Size and Shell Shape in European Tortoises. Journal of Zoology London 260: 353-365.",,,,,,,,,
,yes,,,,,Agrionemys,horsfieldii,Central Asian tortoise,Testudinidae,684.5,1223,,Turkmenistan,,,,,,,,,,"Ataev, C.A. 1997. Reptiles of the autonomous republic of Turkmenistan. Chelonian Conservation and Biology 2:627-634.",,,,,,,,,
,,,,,,Agrionemys,horsfieldii,Central Asian tortoise,Testudinidae,780,1577.5,,Kazakhstan,,,,,,,,,,"Ataev, C.A. 1997. Reptiles of the autonomous republic of Turkmenistan. Chelonian Conservation and Biology 2:627-634.",,,,,,,,,
yes,,,,,,Agrionemys,horsfieldii,,Testudinidae,,,,,121.6,154.3,,,,152.6,193,,,,"Bonnet et al., 2001","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Testudo,kleinmanni,Egyptian tortoise,Testudinidae,163,295,"5M, 4F","Be'er Milka, near Egyptian border, Isreal",96,112.25,170,335,335,103,116,116,,"Geffen, E., and H. Mendelssohn. 1988. Home Range Use and Seasonal Movements of the Egyptian Tortoise (Testudo kleinmanni) in the Northwestern Negev, Israel. Herpetologica 44(3): 354-359.",,,,,,,,,
,,,,,,Testudo,kleinmanni,,Testudinidae,,,,,94.4,113.6,,,,97.9,117.8,,,,"Attum et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Testudo,marginata,marginated tortoise,Testudinidae,1845,2099,168,Northeastern Greece,241.7,246.7,,,,,,,note: Some turtles too big to weigh (minor),"Williemsen, R.E., and A. Hailey. 2003. Sexual Dimorphism of Body Size and Shell Shape in European Tortoises. Journal of Zoology London 260: 353-365.",,,,,,,,,
,,,,,,Testudo,marginata,,Testudinidae,,,,,241.7,246.7,,,,,,,,,"Ernst et al., 2007; Gosnell et al., 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,yes,,,Testudo,werneri,,Testudinidae,,,,,,,,,,106,131,,,,"Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Testudo ,graeca,,Testudinidae,,,"~ 30M, F~ 30",,169,206,,,,,,,,,Bayley and Highfield 1996,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Testudo ,graeca,,Testudinidae,,,"?M, F?",,193,161,,,,,,,,,Bonin et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Testudo ,graeca ssp ibera,,Testudinidae,,,"29M, F27",,246,248,,,,,,,,,Turkozan et al. 2005,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Testudo ,hermanni,,Testudinidae,,,"153M, F35",,230,250,,,,,,,,,Willemsen and Hailey 1999,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Testudo ,hermanni ssp boettgeri,,Testudinidae,,,"~ 274M, F~ 550",,240,240,,,,,,,,,Willemsen and Hailey 2003,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Testudo ,horsfieldii,,Testudinidae,,,"422M, F388",,153,193,,,,,,,,,Bonnet et al. 2001,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Testudo ,kleinmanni,,Testudinidae,,,"?M, F?",,106,131,,,,,,,,,Bonin et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Testudo ,marginata,,Testudinidae,,,"~ 208M, F~ 208",,300,280,,,,,,,,,Willemsen and Hailey 2003,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Testudo ,marginata,,Testudinidae,,,"~ 415M, F~ 415",,250,260,,,,,,,,,Willemsen and Hailey 2003,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Trachemys,adiutrix,Brazilian slider,Emydidae,393.2,732.1,"74M, 57F","Barro Vermelho, Maranhao state, Brazil",134.3,159.2,655,1600,1600,170.5,209.9,209.9,,"Batistella, A.M. 2008. Biologia de Trachemys adiutrix (Vanzolini, 1995) (Testudines, Emydidae) no Litoral do Nordeste - Brazil. Doctoral Thesis. Federal University of Amazonas.",,,,,,,,,
yes,yes,,,,,Trachemys,adiutrix,Brazilian slider,Emydidae,671,1298.1,"5M, 38F","Sobradinho, Piaui state, Brazil",166.8,201.8,845,1850,1850,185.5,250.6,250.6,,"Batistella, A.M. 2008. Biologia de Trachemys adiutrix (Vanzolini, 1995) (Testudines, Emydidae) no Litoral do Nordeste - Brazil. Doctoral Thesis. Federal University of Amazonas.",,,,,,,,,
yes,yes,,,,,Trachemys,callirostris,Columbian slider ,Emydidae,581.71,1029.28,"108M, 273F","?Cocos Island, La Mojana Region, Sucre Department, Columbia? ""Isla del Coco, region de La Mojana, Departamento de Sucre""",156.7,182.4,,,,,,,,"Marin, A.S., M.A. Marulanda, and S.F. Obeid. 2003. Aspectos de la Morfometria de la Jicotea Colombiana (Trachemys scripta callirostris: Chelonia Emydidae) y sus Posibles Ventajas Para la Supervivencia. Revista Biologia 17(2): 114-119.",,,,,,,,,
,,,,,,Trachemys,callirostris,,Emydidae,,,"?M, F?",,252,300,,,,,,,,,Pritchard and Trebbau 1984,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Trachemys,decorata,,Emydidae,,,"~ 42M, F~ 42",,219,341,,,,,,,,,Seidel 1988,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Trachemys,decussata,,Emydidae,,,"16M, F30",,204,255,,,,,,,,,Seidel 1990,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Trachemys,dorbigni,black-bellied slider,Emydidae,868.33,1385.75,"30M, 93F","Delta do Jacui State Park, Rio Grande do Sul state, Brazil",178.93,203.08,1400,2550,2550,200,252.2,252.2,,"Bujes, C.S., F.B. Molina, and L. Verrastro. 2011. Population Characteristics of Trachemys dorbigni (Testudines, Emydidae) From Delta do Jacui State Park, Rio Grade do Sul, Southern Brazil. South American Journal of Herpetology 6(1): 27-34.",,,,,,,,,
yes,yes,,,,,Trachemys,dorbigni,black-bellied slider,Emydidae,1012.6,1947.3,"38M, 67F","Sao Paulo state, Brazil",185.9,223.5,1520,3060,3060,220,253,253,,"Batistella, A.M. 2008. Biologia de Trachemys adiutrix (Vanzolini, 1995) (Testudines, Emydidae) no Litoral do Nordeste - Brazil. Doctoral Thesis. Federal University of Amazonas.",,,,,,,,,
,,,,,,Trachemys,dorbigni,,Emydidae,,,"?M, F?",,223,250,,,,,,,,,Freiberg 1981,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Trachemys,emolli,,Emydidae,,,"31M, F36",,296,372,,,,,,,,,Legler 1990,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Trachemys,gaigeae,,Emydidae,,,"16M, F23",,173,220,,,,,,,,,Legler 1990,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Trachemys,nebulosa,,Emydidae,,,"28M, F14",,320,351,,,,,,,,,Legler 1990,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Trachemys,ornata,,Emydidae,,,"?M, F?",,342,421,,,,,,,,,Acuna Mesen 1993,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Trachemys,scripta,pond slider,Emydidae,480,1070,< 50,East Texas,,,,,,,,,,"Brian Fontenot, unpublished data",,,,,,,,,
,,,,,,Trachemys,scripta,Red-Eared Slider Turtles,Emydidae,660.85,1110.16,"53M, 64F","Beaver Creek, Tar Creek Superfund Site, Ottawa County, Oklahoma",164.66,194,,,,,,,,"Hays, K., McBee, K. 2010. Population Demographics of Red-Eared Slider Turtles (Trachemys scripta) from Tar Creek Superfund Site. Journal of Herpetology 44(3):441-446.",,,,,,,,,
,yes,,,,,Trachemys,scripta,Red-Eared Slider Turtles,Emydidae,896,843.1,"25M, 29F","Lake Carl Blackwell, Payne County, Oklahoma",188.04,177.83,,,,,,,,"Hays, K., McBee, K. 2010. Population Demographics of Red-Eared Slider Turtles (Trachemys scripta) from Tar Creek Superfund Site. Journal of Herpetology 44(3):441-446.",,,,,,,,,
,,,,,,Trachemys,scripta,Red-Eared Slider Turtles,Emydidae,755.29,971.69,"87M, 35F","Sequoya National Wildlife Refuge, Sequoya County, Oklahoma",173.11,188.17,,,,,,,,"Hays, K., McBee, K. 2010. Population Demographics of Red-Eared Slider Turtles (Trachemys scripta) from Tar Creek Superfund Site. Journal of Herpetology 44(3):441-446.",,,,,,,,,
,,,,,,Trachemys,scripta,yellow-belled slider,Emydidae,576.8,1168.7,"409M, 243F","Savannah River Plant and Capers Island, South Carolina",,,,,,,,,,"Congdon, J.D., J.L. Greene, and J.W. Gibbons. 1986. Biomass of Freshwater Turtles: A Geographic Comparison. American Midland Naturalist 115(1): 165-173.",,,,,,,,,
,,,,,,Trachemys,scripta,yellow-belled slider,Emydidae,1292.4,2977.8,"7M, 18F","Capers Island, South Carolina",,,,,,,,,,"Congdon, J.D., J.L. Greene, and J.W. Gibbons. 1986. Biomass of Freshwater Turtles: A Geographic Comparison. American Midland Naturalist 115(1): 165-173.",,,,,,,,,
,,,,,,Trachemys,scripta,pond slider,Emydidae,648.2,1332.5,"122M, 57F","Columbus, Mississippi",,,1315,1990,1990,,,,,"Parker, W.S. 1996. Age and Survivorship of the Slider (Trachemys scripta) and the Mud Turtle (Kinosternon subrubrum) in a Mississippi Farm Pond. Journal of Herpetology 30(2): 266-268.",,,,,,,,,
,,,,,,Trachemys,scripta,Red-eared sliders,Emydidae,820,1330,"601M,606F","Long Lake, Jersey Co., Illinois",174,199,1910,2900,2900,245,281,281,,"Tucker, J.K., C.R. Dolan, J.T. Lamer, and E.A. Dustman. 2008. Climatic warming, sex ratios, and red-eared sliders (Trachemys scripta elegans) in Illinois. Chelonian Conservation and Biology 7(1):60-69",,,,,,,,,
,,,,,,Trachemys,scripta,red-eared slider,Emydidae,637,1193,"7930M, 10002F","Long Lake, Jersey County, Illinois",157,189,2300,3100,3100,261,296,296,,"Tucker, J.K. and J.T. Lamer. 2008. Homing in the red-eared slider (Trachemys scripta elegans) in Illinois. Chelonian Conservation and Biology 7(1):145-149.",,,,,,,,,
,,,,,,Trachemys,scripta,,Emydidae,,,"2546M, F1370",,250,280,,,,,,,,,Gibbons and Lovich 1990,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Trachemys,scripta elegans,Red-eared slider,Emydidae,953,1388,"9264M,7915F","Swan Lake, Illinois",189,207,2420,3100,3100,260,276,276,,"Tucker, J.K. and J.T. Lamer. 2008. Homing in the red-eared slider (Trachemys scripta elegans) in Illinois. Chelonian Conservation and Biology 7(1):145-149.",,,,,,,,,
yes,,,,,,Trachemys,stejnegeri,,Emydidae,,,"~ 94M, F~ 94",,210,273,,,,,,,,,Seidel 1988,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Trachemys,taylori,,Emydidae,,,"51M, F60",,179,218,,,,,,,,,Legler 1990,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Trachemys,terrapen,,Emydidae,,,"23M, F22",,243,300,,,,,,,,,Tuberville et al. 2005,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Trachemys,venusta,,Emydidae,,,"195M, F213",,341,424,,,,,,,,,Legler 1990,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Trachemys ,callirostris,,Emydidae,,,,,,,,,,300,330,,,,"Ernst, 2003","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Trachemys ,decorata,,Emydidae,,,,,,,,,,219,341,,,,"Seidel & Inchaustegui, 1984","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
